L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
6.647461e-07,2.745315e-07,1.235228e-07,1.036816e-07,3.489784e+06,4.345973e+06,5.927248e+06
1.066490e-09,1.814023e-08,1.967048e-08,1.906755e-07,2.183304e+08,5.403630e+07,1.700322e+07
1.208107e-09,4.369662e-07,1.515093e-07,2.479424e-09,7.391416e+07,3.058623e+07,3.038090e+07
8.186038e-09,3.050434e-09,2.500093e-08,6.532198e-07,6.990127e+07,6.079429e+07,2.240214e+07
5.800691e-08,2.624722e-08,8.871131e-08,2.572379e-09,1.394025e+07,6.890393e+07,1.217001e+08
1.144142e-07,1.808672e-07,4.218554e-08,9.725795e-09,1.439389e+07,2.069992e+07,2.384282e+07
1.779349e-09,3.609386e-09,1.034148e-08,1.868245e-08,2.331193e+08,1.669654e+08,1.217773e+08
1.627252e-07,8.127487e-07,1.780289e-08,8.955389e-08,1.857922e+07,8.308439e+06,3.706633e+06
1.725475e-09,2.687531e-09,4.961949e-07,3.374309e-09,3.417587e+07,2.600231e+08,3.320709e+08
1.072149e-07,3.648079e-07,2.393414e-09,9.998302e-07,6.242572e+07,2.978714e+07,1.655788e+06
6.768040e-08,5.268156e-09,1.491392e-09,1.854941e-09,9.953425e+07,1.287702e+08,3.198937e+08
3.198467e-09,5.799479e-07,2.937798e-07,4.898303e-09,3.262256e+07,1.886597e+07,1.876215e+07
6.871392e-07,2.202704e-07,2.701284e-07,2.432863e-08,2.321093e+06,7.026925e+06,1.366039e+07
1.776203e-07,1.759729e-08,1.885188e-08,2.959613e-07,1.728130e+07,1.700091e+07,1.385670e+07
1.759558e-07,1.262881e-08,4.988175e-08,2.920627e-09,1.067400e+07,4.383941e+07,1.646572e+08
